Overall_rank,Country_or_region,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Continent,Population
154,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025,Asia,38972230
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Europe,2866849
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Africa,43451666
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,South America,45036032
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Asia,2805608
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,Oceania,25670051
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Europe,8907777
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Asia,10284951
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Asia,1477469
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Asia,167420951
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Europe,9633740
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,Europe,11561717
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Africa,12643123
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,Asia,772506
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,South America,11936162
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Europe,3318407
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Africa,2546402
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,South America,213196304
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Europe,6979175
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Africa,21522626
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Africa,12220227
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Asia,16396860
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Africa,26491087
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,North America,37888705
155,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035,Africa,5343020
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Africa,16644701
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,South America,19300315
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,Asia,1424929781
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,South America,50930662
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Africa,806166
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,North America,5123105
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Europe,4096868
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Europe,1237537
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,Europe,10530953
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,Europe,5825641
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,North America,10999664
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,South America,17588595
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Asia,107465134
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,North America,6292731
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Europe,1329444
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Africa,117190911
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Europe,5529468
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Europe,64480053
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Africa,2292573
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Africa,2573995
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Asia,3765912
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Europe,83328988
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Africa,32180401
82,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,Europe,10512232
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,North America,17362718
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Oceania,13205153
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,North America,11306801
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,North America,10121763
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Asia,7500958
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Europe,9750573
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Europe,366669
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Asia,1396387127
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Asia,271857970
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Asia,87290193
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Asia,42556984
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,Europe,4946119
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Asia,8757489
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Europe,59500579
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Africa,26811790
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,North America,2820436
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Asia,125244761
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Asia,10928721
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Asia,18979243
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Africa,51985780
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Asia,4360444
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Asia,6424874
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Asia,7319399
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Europe,1897052
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Asia,5662923
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Africa,2254100
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Africa,5087584
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Africa,6653942
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Europe,2820267
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Europe,630399
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Africa,28225177
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Africa,19377061
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Asia,33199993
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Africa,21224040
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,Europe,515357
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Africa,4498604
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Africa,1297828
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,North America,125998302
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0,Europe,3084847
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Asia,3294335
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Europe,629048
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Africa,36688772
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Africa,31178239
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Asia,53423198
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Africa,2489098
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Asia,29348627
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Europe,17434557
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,Oceania,5061133
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,North America,6755895
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Africa,24333639
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Africa,208327405
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Europe,2111072
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Europe,5379839
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Asia,227196741
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Asia,5019401
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,North America,4294396
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,South America,6618695
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,South America,33304756
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Asia,112190977
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Europe,38428366
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Europe,10298192
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,Asia,2760385
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Europe,19442038
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Europe,145617329
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Africa,13146362
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Asia,35997107
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Africa,16436119
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Europe,7358005
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Africa,8233969
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Asia,5909869
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Europe,5456681
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Europe,2117641
112,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,Africa,16537016
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Africa,58801927
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Asia,51844690
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Europe,47363807
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Asia,21715079
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Europe,10368969
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Europe,8638613
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Asia,20772595
25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,Asia,23821464
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Asia,9543207
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Africa,61704518
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Asia,71475664
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Africa,1299995
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,North America,8442580
124,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,Africa,12161723
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Asia,84135428
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Asia,6250438
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Africa,44404611
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Europe,43909666
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,Asia,9287289
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,Europe,67059474
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,North America,335942003
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,South America,3429086
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Asia,33526656
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,South America,28490453
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Asia,96648685
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Asia,32284046
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Africa,18927715
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Africa,15669666
